sim,auroc,auprc
819,0.647628575,0.165145543
820,0.646243628,0.170811996
821,0.642338251,0.163289074
822,0.649792845,0.165046514
823,0.651642153,0.168704488
824,0.651444329,0.167581582
825,0.649989531,0.168958265
826,0.642531331,0.163852379
827,0.643492426,0.163021166
828,0.646202157,0.170928849
829,0.650310763,0.16816316
830,0.649969662,0.170238523
831,0.646953495,0.166101605
832,0.64988759,0.1698563
833,0.650696717,0.166562457
834,0.644610485,0.161195661
835,0.646267599,0.164256094
836,0.644090228,0.166342841
837,0.651890095,0.170177132
838,0.649529871,0.169097347
839,0.644871545,0.164383791
840,0.644019056,0.162878532
841,0.639527522,0.162278048
842,0.648267645,0.164356725
843,0.654157881,0.173074211
844,0.645091397,0.164652737
845,0.644868804,0.165821655
846,0.645469447,0.17180951
847,0.648110417,0.167058922
848,0.645482088,0.165766327
849,0.645233288,0.165215673
850,0.643540943,0.15910245
851,0.642863448,0.165710761
852,0.643726074,0.163718648
853,0.643076381,0.163526078
854,0.649507266,0.166001228
855,0.647012264,0.167817366
856,0.647129677,0.162458532
857,0.645451464,0.162904146
858,0.652749939,0.171016987
859,0.647522382,0.166155728
860,0.644971212,0.165024922
861,0.643055084,0.163720684
862,0.652284165,0.172156324
863,0.648592711,0.164268076
864,0.641011544,0.16306648
865,0.639784058,0.167574367
866,0.646369843,0.170206045
867,0.644837485,0.167208982
868,0.644374929,0.164236074
869,0.646359605,0.169213515
870,0.644400015,0.165473607
871,0.647263808,0.167299753
872,0.645060107,0.168054437
873,0.641849774,0.160231208
874,0.642956815,0.164061297
875,0.646390397,0.167670721
876,0.646781305,0.166095904
877,0.648753667,0.164071316
878,0.648026434,0.171142259
879,0.645225925,0.170230735
880,0.646651179,0.170726909
881,0.645601344,0.166239929
882,0.641521848,0.161556637
883,0.648316167,0.167366234
884,0.640372773,0.164112978
885,0.649958614,0.174359215
886,0.648614726,0.171590005
887,0.643476787,0.163757953
888,0.649904973,0.168602468
889,0.650941087,0.169204165
890,0.648137844,0.16605346
891,0.648623988,0.167977062
892,0.657010304,0.176065183
893,0.643005262,0.165649103
894,0.64486596,0.165797351
895,0.643020639,0.162224676
896,0.650250176,0.168407528
897,0.646150046,0.164083269
898,0.643037989,0.16653137
899,0.648328582,0.163388626
900,0.650540106,0.169603806
901,0.644797389,0.170822863
902,0.651722359,0.173490843
903,0.645440887,0.16460907
904,0.654597324,0.172381177
905,0.649384561,0.16948528
906,0.641154145,0.161913887
907,0.642931458,0.164187051
908,0.645006701,0.163543888
909,0.643133424,0.164435212
910,0.647944592,0.172427218
911,0.646266864,0.170058213
912,0.637301242,0.157580212
913,0.647088416,0.169208221
914,0.653571334,0.17228478
915,0.647242586,0.167979919
916,0.647937504,0.170515649
917,0.650659147,0.165467783
918,0.644906491,0.163120625
